geneId	baseMean_ICP4	log2FoldChange_ICP4	lfcSE_ICP4	stat_ICP4	pvalue_ICP4	padj_ICP4	gene_ICP4	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_ICP4	DE_n208	DE_n6	DE_RR_LL	seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	external_gene_name
ENSG00000140937	11036.3200220652	-0.482727774710462	0.206973909292767	-2.33231220476025	0.0196842729362537	0.0727884709109409	CDH11	13879.9259596798	-0.0905058146682667	0.171121287027027	-0.528898632313187	0.596875770802551	0.741675475872513	CDH11	14435.8552656513	-0.586479136749872	0.246050396453604	-2.38357322403445	0.0171454731161851	0.0527130550032904	CDH11	6242.36184458002	-0.652967027073042	0.158375747711649	-4.12289783320792	3.74135667634713e-05	0.000240910453071621	CDH11	FALSE	FALSE	FALSE	FALSE	16	65124761	65124824	64	*	KOS_6h_peak_13	302	.	17.90192	37.81309	30.25639	28	Promoter (<=1kb)	16	65004642	65124292	119651	2	ENST00000569624	-469	CDH11
ENSG00000142002	4270.52819863575	0.0769476354531831	0.175432147562795	0.438617645181821	0.660938609345319	0.788763250141861	DPP9	4285.95336402089	0.0413186997734542	0.179878058674144	0.229703945428412	0.818321828872947	0.895787833474799	DPP9	5087.99730652951	-0.131700977296908	0.166470766766875	-0.79113576428312	0.428864771026094	0.586749671111724	DPP9	2410.88163041575	0.190661309251304	0.158172158129244	1.20540372911592	0.228047482591794	0.35403507856154	DPP9	FALSE	FALSE	FALSE	FALSE	19	4724611	4724665	55	*	KOS_6h_peak_21	48	.	5.56603	10.8073	4.85051	20	Promoter (<=1kb)	19	4714106	4724673	10568	2	ENST00000598041	8	DPP9
ENSG00000147027	3506.74640363779	0.0108783218855911	0.212803151861233	0.051119176527445	0.959230555310317	0.978829709681643	TMEM47	3890.51389372672	0.225593335015152	0.225324310582422	1.00119394321915	0.316733054180653	0.493016382547742	TMEM47	5226.50355036824	0.296313998148052	0.307093062141921	0.96489968246535	0.334595060501636	0.49626157293749	TMEM47	2391.98578339064	0.586232479344458	0.228203979687566	2.56889682707142	0.01020228273759	0.0298033184604508	TMEM47	FALSE	FALSE	FALSE	FALSE	X	34687293	34687340	48	*	KOS_6h_peak_50	90	.	9.43462	15.54981	9.02475	14	Distal Intergenic	23	34627075	34657285	30211	2	ENST00000275954	-30008	TMEM47
ENSG00000149679	563.298657539709	-0.613240452915679	0.383174287024145	-1.60042172369733	0.109505059069554	0.242177371911879	CABLES2	696.929485736608	-0.3214751037758	0.231218997786498	-1.39034900615148	0.164422923293037	0.315907037750204	CABLES2	706.177452039263	-0.874267083298486	0.271387480578345	-3.22147168113784	0.00127534065241831	0.00619872187516595	CABLES2	335.761280241808	-0.674921555026634	0.252240345309207	-2.6757081790357	0.00745715444207521	0.0229929608847667	CABLES2	FALSE	FALSE	FALSE	FALSE	20	62398036	62398098	63	*	KOS_6h_peak_25	101	.	9.59184	16.77474	10.17675	39	Promoter (1-2kb)	20	62391014	62396331	5318	2	ENST00000453274	-1705	CABLES2
ENSG00000150672	47.091070124041	0.45410733495089	0.419462081026203	1.08259448348687	0.278988456966593	0.454148173464677	DLG2	48.3073548763016	0.582529661756025	0.450332678943587	1.29355405235648	0.195819502157948	0.356730856162406	DLG2	70.1129669962976	0.74862768181141	0.390596077097573	1.91662877767305	0.0552851093390998	0.132538466394128	DLG2	26.8428870914152	0.683519015428059	0.567635515629786	1.20415124953854	0.228531124514996	0.354584445892377	DLG2	FALSE	FALSE	FALSE	FALSE	11	84313346	84313401	56	*	KOS_6h_peak_10	118	.	10.78242	18.56221	11.82841	14	Intron (ENST00000280241/ENSG00000150672, intron 1 of 21)	11	83459119	84317337	858219	2	ENST00000706243	3936	DLG2
ENSG00000166573	3.41942596118361	4.0063108101785	1.66684011184163	2.40353635703671	0.0162373523188823	0.0630620720796619	GALR1	NA	NA	NA	NA	NA	NA	NA	3.99582195352906	4.02748993084355	1.89707162433926	2.12300362262089	0.033753548293342	0.0901579463502688	GALR1	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	18	77258611	77258664	54	*	KOS_6h_peak_20	84	.	7.66565	14.91909	8.45361	25	Intron (ENST00000299727/ENSG00000166573, intron 2 of 2)	18	77253740	77256217	2478	1	ENST00000582943	4871	GALR1
ENSG00000166573	3.41942596118361	4.0063108101785	1.66684011184163	2.40353635703671	0.0162373523188823	0.0630620720796619	GALR1	NA	NA	NA	NA	NA	NA	NA	3.99582195352906	4.02748993084355	1.89707162433926	2.12300362262089	0.033753548293342	0.0901579463502688	GALR1	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	18	77252946	77253033	88	*	KOS_6h_peak_19	90	.	7.03078	15.61319	9.08055	59	Promoter (<=1kb)	18	77253740	77256217	2478	1	ENST00000582943	-707	GALR1
ENSG00000171813	402.107505670419	1.38663803748059	0.319499068627512	4.34003780805135	1.42458203386171e-05	0.000275984608718177	PWWP2B	253.171453714473	0.731633132280061	0.263867954570698	2.77272446163611	0.00555891673122865	0.0250500870309769	PWWP2B	373.198134957467	0.898609685564754	0.316496882794581	2.8392370807266	0.00452215444349425	0.0178901533156418	PWWP2B	173.173732956432	1.27202212045894	0.273909182849321	4.64395573462276	3.41800824252733e-06	2.87800858387227e-05	PWWP2B	FALSE	FALSE	FALSE	FALSE	10	132392537	132392592	56	*	KOS_6h_peak_9	99	.	9.68155	16.55244	9.97346	24	Distal Intergenic	10	132397168	132417528	20361	1	ENST00000631148	-4576	PWWP2B
ENSG00000172965	2099.75170687447	-0.32350849770537	0.245839367677938	-1.31593446875922	0.188196038452218	0.349151125232218	MIR4435-2HG	2356.28842934926	-0.211664730292942	0.170746000028497	-1.23964678679217	0.21510606734129	0.379902439182868	MIR4435-2HG	2527.33117747118	-0.611193213756984	0.171274540899382	-3.56850008499535	0.000359030737392833	0.00209767032680442	MIR4435-2HG	1409.08603650009	0.124937211068137	0.240033217073293	0.520499673301419	0.602715355540606	0.719658815639671	MIR4435-2HG	FALSE	FALSE	FALSE	FALSE	2	111251528	111251620	93	*	KOS_6h_peak_24	23	.	5.54164	7.82102	2.36385	58	Intron (ENST00000645030/ENSG00000172965, intron 3 of 4)	2	111237004	111239047	2044	2	ENST00000371162	-12481	MIR4435-2HG
ENSG00000174469	7.01471514780752	5.02580134359638	1.7628483288149	2.85095504896615	0.00435881310419121	0.0241234764039028	CNTNAP2	7.5026740305228	5.59888950269722	1.56709678272807	3.57277837872299	0.000353213677893317	0.00268134376751206	CNTNAP2	14.6938174736719	5.90153601517448	1.67021472795216	3.53339957815503	0.000410251911195853	0.00236346522631467	CNTNAP2	6.53032822398012	6.3092824968395	1.60145352940264	3.9397224964704	8.15759150683735e-05	0.000479510775055903	CNTNAP2	TRUE	TRUE	TRUE	TRUE	7	148331660	148331762	103	*	KOS_6h_peak_40	42	.	4.07139	10.11901	4.25842	11	Intron (ENST00000361727/ENSG00000174469, intron 21 of 23)	7	148339461	148420998	81538	1	ENST00000463592	-7699	CNTNAP2
ENSG00000188191	496.823353819405	0.595745949687617	0.199916745017155	2.97997023529217	0.00288276393047413	0.0177368221234872	PRKAR1B	417.820334100641	0.315146685477385	0.240783172592004	1.30884015724548	0.190588501023851	0.350352593800406	PRKAR1B	593.844365113585	0.489433895977684	0.316362772641411	1.54706538917727	0.121847478786988	0.241756756672157	PRKAR1B	269.535574652914	0.779661230060639	0.243090730912397	3.20728489784173	0.00133994224529924	0.00539597474071129	PRKAR1B	FALSE	FALSE	FALSE	FALSE	7	588451	588668	218	*	KOS_6h_peak_35	154	.	6.0515	22.41955	15.4521	150	Intron (ENST00000544935/ENSG00000188191, intron 7 of 10)	7	550270	602683	52414	2	ENST00000400758	14015	PRKAR1B
ENSG00000188191	496.823353819405	0.595745949687617	0.199916745017155	2.97997023529217	0.00288276393047413	0.0177368221234872	PRKAR1B	417.820334100641	0.315146685477385	0.240783172592004	1.30884015724548	0.190588501023851	0.350352593800406	PRKAR1B	593.844365113585	0.489433895977684	0.316362772641411	1.54706538917727	0.121847478786988	0.241756756672157	PRKAR1B	269.535574652914	0.779661230060639	0.243090730912397	3.20728489784173	0.00133994224529924	0.00539597474071129	PRKAR1B	FALSE	FALSE	FALSE	FALSE	7	588797	588882	86	*	KOS_6h_peak_36	127	.	7.34931	19.53123	12.751	30	Intron (ENST00000544935/ENSG00000188191, intron 7 of 10)	7	550270	602683	52414	2	ENST00000400758	13801	PRKAR1B
ENSG00000234409	26.1989892563633	0.822009010454665	0.544509280542771	1.50963269098973	0.131137174906719	0.273461780775741	CCDC188	26.6238986391719	1.10952696540884	0.542350890893496	2.04577328817686	0.0407786812827955	0.114718522140924	CCDC188	29.4732504046236	0.669865460270122	0.609480609280442	1.09907591820021	0.271734953001339	0.42828399072074	CCDC188	9.69893276738695	0.203064097493896	0.992137501206306	0.204673341393705	0.837827349951419	0.895048475292776	CCDC188	FALSE	FALSE	FALSE	FALSE	22	20163150	20163201	52	*	KOS_6h_peak_27	83	.	8.849	14.76837	8.31738	21	Distal Intergenic	22	20148416	20151055	2640	2	ENST00000439765	-12095	CCDC188
ENSG00000235376	4.13419574375143	-2.00842094886392	1.01062541372183	-1.98730501093132	0.0468886067162931	0.134259997559103	RPEL1	NA	NA	NA	NA	NA	NA	NA	8.18226316300546	-1.26483924789087	0.961185551739006	-1.3159157933684	0.188202307257745	0.331746964087394	RPEL1	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	FALSE	NA	10	103250919	103251008	90	*	KOS_6h_peak_8	68	.	4.97672	13.14027	6.84864	76	Intron (ENST00000675164/ENSG00000076685, intron 1 of 19)	10	103245887	103248016	2130	1	ENST00000441178	5032	RPEL1
ENSG00000253931	3.81936610483608	4.15271609953416	1.94225240083794	2.13809291611253	0.0325092027655149	0.103606973124873	LINC02990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	8	143410938	143411001	64	*	KOS_6h_peak_42	91	.	6.40101	15.67667	9.1334	29	Promoter (1-2kb)	8	143412749	143417054	4306	1	ENST00000523002	-1748	LINC02990
